iter	Passed	Remaining
1341	7379	47609
1342	7381	47583
1343	7387	47577
1344	7389	47550
1345	7394	47542
1346	7399	47535
1347	7405	47529
1348	7408	47509
1349	7413	47503
1350	7419	47497
1351	7424	47488
1352	7429	47481
1353	7434	47475
1354	7440	47471
1355	7446	47466
1356	7451	47459
1357	7453	47433
1358	7459	47431
1359	7465	47425
1360	7468	47405
1361	7473	47397
1362	7476	47375
1363	7481	47368
1364	7488	47373
1365	7494	47371
1366	7500	47365
1367	7501	47336
1368	7507	47329
1369	7513	47330
1370	7519	47325
1371	7524	47319
1372	7530	47315
1373	7536	47313
1374	7541	47304
1375	7547	47301
1376	7553	47298
1377	7555	47273
1378	7561	47270
1379	7566	47265
1380	7572	47258
1381	7574	47232
1382	7579	47227
1383	7585	47221
1384	7590	47216
1385	7593	47190
1386	7595	47165
1387	7597	47139
1388	7602	47133
1389	7605	47108
1390	7607	47081
1391	7612	47075
1392	7618	47071
1393	7620	47045
1394	7626	47041
1395	7631	47037
1396	7637	47032
1397	7643	47028
1398	7645	47001
1399	7650	46993
1400	7657	46999
1401	7663	46998
1402	7670	46999
1403	7672	46976
1404	7677	46969
1405	7680	46944
1406	7687	46949
1407	7693	46944
1408	7695	46919
1409	7701	46921
1410	7708	46920
1411	7713	46917
1412	7719	46912
1413	7724	46907
1414	7730	46902
1415	7735	46896
1416	7741	46892
1417	7743	46864
1418	7748	46858
1419	7753	46851
1420	7756	46826
1421	7761	46822
1422	7767	46820
1423	7773	46814
1424	7779	46814
1425	7785	46809
1426	7787	46783
1427	7792	46777
1428	7798	46772
1429	7803	46767
1430	7805	46742
1431	7811	46736
1432	7816	46731
1433	7822	46729
1434	7828	46725
1435	7830	46700
1436	7836	46696
1437	7841	46691
1438	7843	46663
1439	7845	46638
1440	7848	46618
1441	7853	46611
1442	7859	46603
1443	7864	46599
1444	7866	46574
1445	7872	46568
1446	7877	46560
1447	7879	46539
1448	7885	46534
1449	7890	46528
1450	7896	46522
1451	7901	46518
1452	7904	46495
1453	7910	46492
1454	7915	46487
1455	7920	46480
1456	7926	46475
1457	7931	46468
1458	7937	46465
1459	7942	46460
1460	7948	46458
1461	7950	46430
1462	7955	46424
1463	7961	46420
1464	7966	46413
1465	7972	46407
1466	7977	46401
1467	7982	46394
1468	7988	46391
1469	7990	46367
1470	7992	46342
1471	7994	46318
1472	8000	46314
1473	8005	46308
1474	8011	46302
1475	8016	46297
1476	8022	46292
1477	8027	46288
1478	8030	46264
1479	8035	46257
1480	8037	46233
1481	8039	46208
1482	8045	46205
1483	8051	46201
1484	8056	46193
1485	8061	46188
1486	8066	46181
1487	8072	46175
1488	8077	46168
1489	8082	46161
1490	8084	46138
1491	8089	46132
1492	8092	46108
1493	8097	46104
1494	8103	46100
1495	8109	46095
1496	8111	46071
1497	8116	46066
1498	8122	46061
1499	8127	46055
1500	8133	46055
1501	8137	46039
1502	8144	46041
1503	8150	46040
1504	8153	46023
1505	8159	46020
1506	8165	46018
1507	8167	45994
1508	8172	45987
1509	8178	45983
1510	8183	45978
1511	8186	45954
1512	8189	45937
1513	8195	45934
1514	8200	45929
1515	8205	45922
1516	8211	45916
1517	8216	45912
1518	8222	45907
1519	8227	45903
1520	8233	45899
1521	8239	45895
1522	8244	45889
1523	8249	45882
1524	8252	45859
1525	8257	45854
1526	8262	45848
1527	8268	45843
1528	8273	45837
1529	8279	45836
1530	8285	45830
1531	8290	45827
1532	8296	45821
1533	8301	45816
1534	8307	45812
1535	8313	45808
1536	8318	45804
1537	8323	45798
1538	8329	45794
1539	8335	45791
1540	8341	45787
1541	8346	45781
1542	8352	45776
1543	8357	45769
1544	8362	45764
1545	8368	45759
1546	8373	45752
1547	8376	45734
1548	8381	45730
1549	8387	45725
1550	8393	45721
1551	8398	45717
1552	8404	45711
1553	8412	45724
1554	8418	45718
1555	8423	45713
1556	8429	45708
1557	8434	45703
1558	8439	45696
1559	8445	45692
1560	8448	45673
1561	8453	45668
1562	8459	45662
1563	8461	45639
1564	8464	45622
1565	8469	45616
1566	8475	45610
1567	8480	45606
1568	8486	45600
1569	8491	45596
1570	8497	45592
1571	8502	45587
1572	8508	45579
1573	8513	45575
1574	8515	45553
1575	8521	45549
1576	8527	45547
1577	8533	45543
1578	8538	45537
1579	8543	45529
1580	8548	45522
1581	8554	45516
1582	8559	45512
1583	8565	45507
1584	8567	45484
1585	8572	45478
1586	8577	45472
1587	8583	45466
1588	8588	45462
1589	8594	45457
1590	8596	45434
1591	8602	45433
1592	8608	45429
1593	8613	45426
1594	8620	45424
1595	8625	45419
1596	8631	45415
1597	8636	45409
1598	8642	45404
1599	8647	45398
1600	8652	45394
1601	8658	45388
1602	8664	45387
1603	8670	45384
1604	8675	45379
1605	8682	45378
1606	8684	45356
1607	8686	45332
1608	8691	45324
1609	8696	45319
1610	8701	45313
1611	8707	45310
1612	8713	45304
1613	8718	45299
1614	8723	45294
1615	8729	45288
1616	8734	45284
1617	8740	45281
1618	8746	45276
1619	8751	45270
1620	8754	45253
1621	8760	45248
1622	8762	45226
1623	8767	45221
1624	8773	45218
1625	8775	45192
1626	8780	45187
1627	8783	45166
1628	8788	45163
1629	8794	45159
1630	8799	45153
1631	8805	45148
1632	8810	45142
1633	8812	45120
1634	8817	45114
1635	8819	45090
1636	8825	45088
1637	8827	45066
1638	8833	45060
1639	8838	45053
1640	8843	45049
1641	8849	45045
1642	8851	45020
1643	8857	45021
1644	8859	45000
1645	8862	44978
1646	8867	44973
1647	8872	44967
1648	8878	44960
1649	8883	44956
1650	8889	44952
1651	8894	44948
1652	8900	44942
1653	8905	44938
1654	8908	44916
1655	8910	44895
1656	8912	44873
1657	8918	44874
1658	8921	44853
1659	8927	44853
1660	8933	44849
1661	8938	44844
1662	8944	44839
1663	8949	44835
1664	8955	44829
1665	8957	44808
1666	8958	44782
1667	8960	44760
1668	8966	44756
1669	8971	44752
1670	8977	44746
1671	8982	44739
1672	8987	44734
1673	8992	44728
1674	8995	44707
1675	8997	44685
1676	8999	44665
1677	9005	44660
